Actor,Betweenness_Centrality
Anupam Kher,1.0
Kari Wahlgren,0.686105147985275
Bradley Cooper,0.6642417069027085
Alfred Molina,0.30423767036651855
Fred Tatasciore,0.2543879959903848
Willem Dafoe,0.20596912379063215
Paul Giamatti,0.18244115662670293
Michael Gambon,0.1663743192511872
Keith David,0.14761516134159597
Om Puri,0.1422896435725632
