Actor,PageRank
Anupam Kher,1.0
Shah Rukh Khan,0.8573564079461448
Elizabeth Banks,0.7965666949425225
Molly Shannon,0.77213110734437
Daisuke Ono,0.7255111429309244
John Goodman,0.7232990584715868
Bradley Cooper,0.7110727260530222
Adam Sandler,0.7045128882867981
Jason Sudeikis,0.7029367413828085
Yuki Kaji,0.6900239651916142
