Actor,Degree_Centrality
Bradley Cooper,1.0
Elizabeth Banks,0.9523809523809524
Jason Sudeikis,0.9047619047619048
Anupam Kher,0.8095238095238096
John Goodman,0.8095238095238096
Molly Shannon,0.8095238095238096
Zach Galifianakis,0.8095238095238096
Jon Hamm,0.761904761904762
Kari Wahlgren,0.761904761904762
Justin Long,0.761904761904762
