Actor,Closeness_Centrality
Bradley Cooper,1.0
Elizabeth Banks,0.9577464788732395
Molly Shannon,0.9230769230769231
Fred Tatasciore,0.918918918918919
Jason Sudeikis,0.918918918918919
Bruce Willis,0.914798206278027
Michael Cera,0.914798206278027
Keith David,0.9107142857142858
Zach Galifianakis,0.9107142857142858
Paul Giamatti,0.9066666666666667
